2	-0.77065276	-1.2791193	-0.26208652	1.5177601	2.2805596	1.0092365	-0.51634828	-1.5334238	-0.77065276.1	1.0092365.1	2.5348213	2.7890831	1.7720218	-0.26208652.1	-1.5334238.1	-2.0418904	-1.5334238.2	-0.51634828.1	-0.26208652.2	-0.26208652.3	-0.51634828.2	-0.51634828.3	-0.26208652.4	-0.26208652.5	-0.26208652.6	-0.0078247532	0.24645125	0.24645125.1	0.24645125.2	0.24645125.3	-0.0078247532.1	-0.26208652.7	-0.51634828.4	-0.26208652.8	-0.0078247532.2	0.24645125.4	0.24645125.5	-0.0078247532.3	-0.26208652.9	-0.0078247532.4	-0.0078247532.5	-0.26208652.10	-0.77065276.2	-0.77065276.3	-0.26208652.11	-0.26208652.12	-0.77065276.4	0.50071301	1.2634983	2.2805596.1	2.2805596.2	1.2634983.1	0.24645125.6	-0.51634828.5	-1.2791193.1	-1.2791193.2	-0.77065276.5	-0.26208652.13	-0.0078247532.6	-0.0078247532.7	-0.51634828.6	-0.26208652.14	-0.0078247532.8	-0.0078247532.9	0.50071301.1
2	-0.69720674	-0.47058961	-0.24401056	1.3420555	2.9281216	2.9281216	0.88889741	-1.3769312	-1.8300386	-0.69720674	0.88889741	2.0218054	1.7952136	0.4357393	-0.92369697	-1.6035483	-1.3769312	-0.69720674	-0.24401056	-0.47058961	-0.69720674	-0.47058961	-0.24401056	-0.24401056	-0.24401056	-0.24401056	-0.017431501	0.20916024	0.20916024	0.20916024	-0.017431501	-0.24401056	-0.24401056	-0.24401056	-0.017431501	-0.017431501	-0.017431501	-0.24401056	-0.24401056	-0.47058961	-0.24401056	-0.47058961	-0.24401056	0.20916024	0.66231836	-0.24401056	-1.1503141	-0.47058961	1.3420555	2.2483844	2.4749635	1.3420555	-0.24401056	-1.1503141	-1.3769312	-0.92369697	-0.017431501	0.20916024	-0.24401056	-0.47058961	-0.017431501	-0.017431501	-0.24401056	-0.24401056	-0.017431501
2	-0.53460777	-0.80826899	-0.26099251	0.83348382	2.4751907	1.6543296	-0.26099251	-1.3554382	-1.081777	0.55986857	2.2015601	3.0224212	1.6543296	-0.26099251	-2.1762686	-2.4499299	-1.081777	-0.26099251	0.012622739	-0.26099251	-0.53460777	-0.53460777	-0.26099251	-0.53460777	-0.53460777	-0.26099251	0.012622739	0.28625331	0.28625331	0.012622739	0.012622739	-0.26099251	-0.26099251	-0.26099251	-0.26099251	0.012622739	0.012622739	0.012622739	-0.26099251	0.012622739	0.012622739	-0.53460777	-0.53460777	-0.26099251	0.012622739	-0.26099251	0.012622739	0.83348382	1.3807143	2.2015601	2.2015601	0.55986857	-0.26099251	-0.80826899	-1.3554382	-1.3554382	-0.26099251	0.012622739	0.012622739	-0.26099251	-0.53460777	-0.53460777	0.012622739	0.55986857	0.83348382
2	-0.48500422	-0.48500422	0.28391506	1.5654233	3.1032475	1.8217249	-0.22870258	-2.0227854	-1.5102395	0.5402167	2.3343425	2.3343425	0.79651834	-0.99755008	-1.5102395	-1.7665842	-1.2538948	-0.74134891	-0.74134891	-0.74134891	-0.74134891	-0.48500422	0.027599065	0.027599065	0.027599065	0.027599065	0.027599065	0.28391506	0.28391506	0.28391506	0.027599065	-0.48500422	-0.22870258	0.027599065	-0.22870258	0.027599065	0.027599065	0.027599065	-0.22870258	-0.48500422	-0.74134891	-0.99755008	-0.74134891	0.5402167	1.8217249	1.3091216	0.027599065	0.28391506	1.05282	1.3091216	1.3091216	0.5402167	-0.48500422	-0.99755008	-1.5102395	-1.2538948	-0.48500422	-0.22870258	0.027599065	-0.22870258	-0.22870258	-0.22870258	0.28391506	0.5402167	0.5402167
2	-0.47719446	-0.47719446	0.0036952154	1.4463777	2.4081705	1.2059329	-0.71767969	-1.9198365	-0.95803027	0.72504319	2.4081705	2.8890602	1.2059329	-0.71767969	-2.400807	-1.9198365	-0.71767969	-0.23674962	-0.47719446	-0.47719446	-0.47719446	-0.47719446	-0.47719446	-0.47719446	-0.23674962	0.48459835	0.72504319	0.48459835	0.0036952154	-0.23674962	-0.23674962	-0.23674962	-0.23674962	-0.23674962	0.0036952154	0.0036952154	0.24415352	0.24415352	-0.23674962	-0.23674962	0.0036952154	-0.47719446	-0.47719446	-0.47719446	-0.23674962	-0.23674962	-0.47719446	0.24415352	0.96548802	2.1677257	2.4081705	1.4463777	0.24415352	-0.71767969	-1.4390007	-0.95803027	-0.47719446	-0.23674962	-0.23674962	-0.47719446	-0.47719446	-0.23674962	0.0036952154	0.48459835	0.48459835
1	0.022305253	-0.13880027	-0.29990579	-0.78321333	0.1834198	1.1500529	0.50563084	0.82784188	0.1834198	-0.94434592	-0.78321333	0.34452532	1.794484	2.2778006	-0.13880027	-1.5887861	-0.46103838	-0.46103838	-0.29990579	-0.13880027	-0.13880027	-0.78321333	-0.78321333	-0.29990579	0.022305253	0.1834198	0.022305253	-0.13880027	0.022305253	0.1834198	0.022305253	0.022305253	-0.29990579	-0.13880027	0.022305253	0.022305253	-0.13880027	0.022305253	0.022305253	0.1834198	0.34452532	0.022305253	-0.62208075	-1.5887861	-1.1054785	-0.62208075	-0.46103838	0.34452532	1.6333785	2.9222317	3.4055483	2.6000207	-0.78321333	-2.0720936	-2.2332262	-0.62208075	0.1834198	0.34452532	-0.29990579	-0.46103838	-0.46103838	-0.62208075	0.022305253	0.50563084	0.34452532
2	-0.28182219	-0.53982454	-0.023819826	1.5242088	2.5562327	1.5242088	-0.53982454	-1.8299086	-1.0557715	0.49219934	2.2982303	2.5562327	0.7502017	-0.28182219	-1.3138172	-2.0878098	-1.3138172	-0.28182219	-0.28182219	-0.28182219	-0.53982454	-0.28182219	-0.79787025	-0.53982454	-0.023819826	0.23419698	0.49219934	0.49219934	-0.023819826	-0.023819826	-0.023819826	-0.28182219	-0.53982454	-0.28182219	-0.28182219	0.23419698	0.23419698	-0.28182219	-0.28182219	-0.28182219	-0.28182219	-0.79787025	-0.79787025	-0.53982454	0.23419698	0.49219934	-0.023819826	0.7502017	1.5242088	2.0402135	2.5562327	1.0082041	-0.53982454	-1.3138172	-1.5718629	-1.3138172	-0.28182219	-0.023819826	-0.023819826	-0.023819826	-0.53982454	-0.53982454	-0.023819826	0.49219934	0.7502017
1	0.0075403759	0.0075403759	-0.237721	-0.48298237	-0.237721	-0.237721	-0.48298237	-0.48298237	0.0075403759	0.25281548	-0.72828494	-1.2187527	-0.48298237	1.4791223	0.49807685	-0.97345017	-0.237721	1.233861	0.9885996	0.0075403759	-0.48298237	0.0075403759	0.49807685	0.0075403759	-0.237721	0.0075403759	0.25281548	0.25281548	-0.237721	0.0075403759	-0.237721	0.0075403759	0.25281548	0.25281548	0.0075403759	0.0075403759	0.0075403759	0.0075403759	0.0075403759	0.0075403759	0.0075403759	0.0075403759	-0.48298237	-0.97345017	-0.48298237	0.25281548	0.0075403759	0.49807685	-0.237721	-0.48298237	0.9885996	2.2149202	2.9507043	1.233861	-2.6902935	-3.4262012	-1.9545231	-0.237721	1.7243837	2.4601816	1.4791223	0.25281548	-0.48298237	-0.97345017	-0.72828494
1	0.023032302	-0.16412873	0.023032302	0.023032302	-0.16412873	-0.35128976	-0.35128976	0.21020382	0.39736485	-0.53848224	-0.91276238	0.023032302	1.520331	2.4561467	0.58452588	-2.4100926	-2.2229001	-0.72556991	0.77168692	1.520331	1.7075026	1.33317	0.95884795	0.21020382	-0.91276238	-0.91276238	-0.53848224	-0.35128976	-0.16412873	-0.35128976	-0.53848224	-0.35128976	-0.35128976	-0.35128976	-0.16412873	0.21020382	0.21020382	0.21020382	0.21020382	0.21020382	0.023032302	-0.16412873	0.023032302	0.21020382	0.21020382	0.023032302	0.023032302	-0.16412873	0.023032302	-0.16412873	0.023032302	-0.35128976	-0.91276238	-0.72556991	0.21020382	0.21020382	-0.53848224	0.21020382	1.520331	2.6433077	2.2689857	1.33317	-2.2229001	-2.4100926	-1.2871473
1	-0.1421305	-0.58207523	-0.36208439	-0.1421305	0.077823396	0.29778961	0.5177435	0.5177435	0.73769739	0.077823396	-0.8019429	-0.58207523	1.1776052	2.9372486	0.95765128	-2.5616233	-2.3416325	-1.2419246	0.95765128	2.0574331	2.0574331	1.1776052	0.5177435	-0.36208439	-0.8019429	-0.58207523	-0.58207523	-0.58207523	-0.36208439	-0.36208439	-0.36208439	-0.36208439	-1.0219337	-0.8019429	-0.36208439	0.29778961	0.5177435	0.5177435	0.29778961	0.29778961	-0.36208439	-0.8019429	-0.58207523	0.077823396	0.077823396	0.5177435	0.29778961	0.077823396	0.29778961	0.5177435	1.3975591	1.617513	1.3975591	0.95765128	-1.6817831	-2.3416325	-0.1421305	0.5177435	-0.1421305	-1.2419246	-0.8019429	-0.58207523	-0.36208439	0.5177435	0.077823396
1	0.033139026	0.033139026	0.033139026	-0.13257966	0.033139026	0.033139026	0.198867	0.033139026	0.033139026	-0.29829835	-0.79544514	-0.79544514	0.36458568	1.5246258	0.86174175	-1.2925919	-1.2925919	-0.29829835	0.53030437	1.6903445	2.0217819	1.3588978	0.36458568	-0.46404488	-0.62969861	-0.29829835	-0.13257966	-0.29829835	-0.29829835	-0.62969861	-0.62969861	-0.96119167	-0.79544514	-0.46404488	-0.13257966	0.198867	0.198867	0.198867	0.198867	0.36458568	-0.29829835	-0.46404488	-0.13257966	0.53030437	0.198867	-0.13257966	-0.13257966	0.198867	0.36458568	0.198867	0.198867	0.86174175	1.3588978	0.36458568	-2.2869783	-2.452632	-0.29829835	1.5246258	2.3532192	2.3532192	1.8560632	-0.79544514	-2.7841251	-1.4583385	-0.79544514
